Company,Description,Job,Location,Salary,Company Categories,Job Type,Job Title
Cortex IT Recruitment,Preferably a candidate who has an interest in the data science area and the use of computational emphasis throughout the role.,Python Full Stack Developer,London,45000,recruiter,nan,developer
Linux Recruit,"Is this the best DevOps position you'll see in February? Principal Engineering position within a groundbreaking InsurTech (yep, that is now a thing too)…",Principal DevOps Engineer,London,80000,recruiter,nan,engineer
Streetbees,"This is not a role for a pure data engineer or data scientist though, it is a software engineering role and would particularly suit engineers who have…",Senior Python Developer,London,67500,tech,upper,developer
P N Daly Limited,O Must have analytical skills and experience of interpreting flow and pressure data.O Responsible for the collection of flow and pressure logging data to meet…,Leakage Targeting Analyst - North East London,London,45000,recruiter,nan,analyst (other)
Cortex IT Recruitment,"Jenkins, CircleCI, Drone.io or similar.Good knowledge of containerisation and orchestration technologies such as Kubernetes, ECS or similar.",Senior DevOps,London,80000,recruiter,upper,developer
Linux Recruit,"Due to the nature of the team in the pairing of scientists and engineers, they embrace Xtreme programming with a heavy focus on continuous integration and test…",Lead Engineer - Python - Machine Learning,London,85000,recruiter,upper,engineer
inspiratia,"inspiratia is a market leader in the provision of data-driven analysis on infrastructure and renewable energy globally, and is read by senior investors,…",Data Analyst,London,25000,environment,nan,data analyst
Lifeways,"If you believe that people have a right to choose how to run their own lives, then we would like to hear from you The Lifeway’s Group is one of the UK’s…",Business Data Analyst,London,55000,healthcare,nan,data analyst
BlackLion Law,Job Description Develop reports which are consumable by key business stakeholders Analyse and interpret data using statistical techniques Provide…,Data Analyst,London,20000,law,nan,data analyst
CK Group,Stephanie Maccioni at CK Clinical is currently recruiting for a Principal SAS Programmer to join a well established Clinical Research Organisation. This is a…,Principal SAS Programmer,London,55000,recruiter,nan,engineer
Cortex IT Recruitment,"The Company This is an international software firm with 55 offices across the globe and 1300 employees servicing over 25,000 clients. They are a global…",Senior DevOps,London,80000,recruiter,upper,developer
Linux Recruit,Work in a bespoke Data Science and Machine Learning team for one of the most successful online and in-store retailers in the UK. Alongside the Chief Data…,Lead Engineer - Python - Machine Learning,London,85000,recruiter,upper,engineer
Cortex IT Recruitment,"The Company An artificial intelligence and data science start-up located in their technical hub based in Shoreditch, surrounded by exciting tech companies.…",Python Full Stack Developer,London,45000,recruiter,nan,developer
Streetbees,"Streetbees is a tech start-up that is transforming how companies can gain insights into the markets for their products, to make better products that better…",Senior Python Developer,London,67500,tech,upper,developer
Research Grid Ltd,*Company: * R.grid is an early-stage start-up that streamlines administrative medical research processes by using Machine Learning and Artificial Intelligence…,Machine Learning Engineer,London,41400,education,nan,engineer
P N Daly Limited,Job Summary PN DALY Ltd is the number one Leakage detection company across the United Kingdom. We provide Leakage management solutions to ensure a…,Leakage Targeting Analyst - North East London,London,45000,recruiter,nan,analyst (other)
MBN Solutions,"You should be a competent user of SQL (Oracle or Microsoft) to run queries, manipulate large data sets and create reports.Job Types: Full-time, Permanent.",Junior Data Analyst,Edinburgh,25000,recruiter,entry,data analyst
Harnham,"Apply your expertise in quantitative analysis, data mining, and the presentation of data to understand fraud and how to prevent it.",Fraud Data Scientist,Edinburgh,77500,recruiter,nan,data scientist
GWG Associates, Proactively and collaboratively develop Analysis and Insight to support Operations. report making to help deliver optimal management decisions.,Junior Data Scientist,Edinburgh,28000,recruiter,entry,data scientist
MBN Solutions,Experience using data science and predictive modelling to solve complex business problems.Ability to communicate your findings to non technical stakeholders…,Senior Data Scientist,Edinburgh,65000,recruiter,upper,data scientist
Kleboe Jardine Ltd,The organisation works closely with healthcare data.Developed skills in the application of scientific methods to practical problems through experimental design…,Data Scientist,Edinburgh,35000,recruiter,nan,data scientist
GWG Associates," Ability to investigate data, find trends, forecast performance and provide insightful.Your day to day will consist of…….It’s a bonus if you have!",Graduate Data Analyst,Edinburgh,23000,recruiter,entry,data analyst
Open Spaces Ltd.,Provide backfill support for GIS and petrotechnical data analyst roles as required.Enable DM analysts to distribute GIS and petrotechnical data by assisting in…,Data Integration Specialist Edinburgh,Edinburgh,47500,recruiter,nan,data (other)
GCS Recruitment Specialists Ltd,Looking for a technical Business analyst with exposure to Credit Risk.Experience with credit exposure calculations.Experience building systems around credit.,Business Analyst/EUC Developer,Edinburgh,85000,recruiter,nan,business analyst
Additional Resources UK Limited,"Monitor and audit data quality.Create data dashboards, graphs and visualisations.Manipulate, analyse and interpret complex data sets.",Data Analyst,Essex,25000,recruiter,nan,data analyst
MSX INTERNATIONAL,You will be analysing the data to identify any discrepancies within the data sets and trends and performance indicators.,Business & Data Analyst,Essex,35000,recruiter,nan,data analyst
Executive Talent Solutions,"My client is a rapidly growing consumer technology company based in Colchester, to provide some analytical framework and bring data to life to support thisn…",Data Analyst,Essex,32500,recruiter,nan,data analyst
Additional Resources,"Monitor and audit data quality.Create data dashboards, graphs and visualisations.Manipulate, analyse and interpret complex data sets.",Data Analyst,Essex,25000,recruiter,nan,data analyst
Prima Ardelle Associates > Motor Essex & E London,"Knowledge of data modelling, data cleansing, and data enrichment techniques.Monitor and audit data quality.Knowledge of data analysis tools.",Data Analyst,Essex,25000,recruiter,nan,data analyst
Talent Hub,Managing & developing data analysis techniques and advanced Excel.Digital data analytics : 5 years (Preferred).Advanced knowledge of SEO best practice.,Digital Data Analyst,Essex,50000,recruiter,nan,data analyst
County Broadband Ltd,"Proven working experience as a data analyst or business data analyst.Interpret data, analyse results and provide ongoing reports.",Data Analyst,Essex,32500,government,nan,data analyst
Catsurveys,"This will be a key role for providing high quality survey data, reporting and provide support to the field teams.Follow Health and Safety reporting guidelines.",GPR Analyst,Essex,28500,tech,nan,analyst (other)
First City Recruitment,"Knowledge of data modelling, data cleansing, and data enrichment techniques.As the Data Analyst you will also monitor data quality and liaise with internal…",Data Analyst,Essex,25000,government,nan,data analyst
Robert Half United Kingdom,"To assist with the data modelling of price & margin across all business areas.The position is permanent paying between £22,000 to £26,000 per year.",Data Analyst,Bath,24000,education,nan,data analyst
Lloyds Banking Group,"Over the duration of the programme, you will have the opportunity to develop your capabilities as a data analyst, being taught how to collect, organise and…",Data Analyst Apprenticeship,Bath,24225,finance,nan,data analyst
Heat Recruitment,I’m very pleased to be working with a superb Bristol based client who are looking to engage with junior to mid-level data analysts and data scientists on a…,Junior/Mid-Level Data Analyst or Scientist,Bath,32500,recruiter,entry,data analyst
Michael Page UK,"Evidence demonstrable experience of analysing data and the ability to work with large volumes of structured and unstructured data, identifying intelligence and…",Data Analyst,Bath,23000,recruiter,nan,data analyst
Enable Futures,All data related procedures and data cleansing.Utilise backend data services and contribute to increase existing data services API.,Junior Data Analyst,Bath,20500,recruiter,entry,data analyst
Oscar Technology,Develop and employ the use of best data mining techniques.Manage and optimise processes internally.Ensure appropriate reporting tools are in place to monitor…,Data Analyst,Bath,35000,tech,nan,data analyst
Michael Page UK,Experience of leadership in a data analysis/performance management environment.Have worked in a statistical/data science field and are able to demonstrate…,Lead Data Analyst and Business Partner,Bath,56536,recruiter,upper,data analyst
ADLIB,They have recently partnered with one of the UK's leading Red Brick Universities to build a Data Science team to support the application of Machine Learning…,Senior Data Scientist,Bath,65000,recruiter,upper,data scientist
ADLIB,"You’ll be tasked with the full end-to-end process from gathering requirements and understanding business needs, data analysis, leveraging data, developing and…",Senior Oil & Gas Data Scientist,Bath,52500,recruiter,upper,data scientist
Anglian Water Services Ltd,You’ll use reporting tools to interrogate large sets of analytical data to produce a wide variety of reports for internal and external customers.,Performance Scientist / Data Analyst,Cambridge,30000,environment,nan,data analyst
Ito World,"Knowledge of open data and data licencing.Ability to understand complex information and data, and communicate findings in simple terms.",Junior Data Analyst,Cambridge,21500,tech,entry,data analyst
SeamlessML,"The Data Science and Operations team are responsible for optimising the machine-learning pipeline, starting from data-processing to creating prediction APIs.",Data Scientist and Operations,Cambridge,67500,tech,nan,data scientist
SoCode,Experience with data mining and the analysis of large data sets.Experience applying ML algorithms to real world data.STEM Degree in a highly numerate subject.,Data Scientist,Cambridge,65000,recruiter,nan,data scientist
GCS Recruitment Specialists Ltd,"Experience with working on large data sets and data preprocessing/wrangling.The brightest in the industry, location not being a factor they have gathered great…",Remote or Cambridge Based - Data Scientist / Machine Learnin...,Cambridge,52500,recruiter,nan,data scientist
Pareto Law,"Basic salary of up to £40,000!A flexible and exciting position with no rigid role definition.Options to complete a MSc in Data Science funded by the…",Data Scientist,Cambridge,40000,law,nan,data scientist
GCS Recruitment Specialists Ltd,Working on large data sets and data processing/wranging.Data Scientist - Cambridge - £45k-80k - Flexible working.,Data Scientist,Cambridge,62500,recruiter,nan,data scientist
Talent Hub,Managing & developing data analysis techniques and advanced Excel.Digital data analytics : 5 years (Preferred).Advanced knowledge of SEO best practice.,Digital Data Analyst,Cambridge,50000,recruiter,nan,data analyst
ECM Selection,The type of work you will be doing includes: developing APIs to support data pipelines; machine-learning; exploratory data analysis and live deployment of data…,Data Scientist and Operations,Cambridge,85000,recruiter,nan,data scientist
Aspire Data Recruitment,Experience programming and analysing data in Python.High level of understanding of data science and/or network science.,Data Scientist,Cambridge,50000,recruiter,nan,data scientist
BSS Recruitment UK Ltd,Relevant courses to support an understanding of data & technology.Help to ensure the accuracy of data and drive improvements where possible.,Financial Data Analyst,Cambridge,41000,recruiter,nan,data analyst
SoCode,"This role will have you working closely with the data science team, product owners and other stakeholders to conduct vital research.",Senior Data Scientist,Cambridge,65000,recruiter,upper,data scientist
Harnham,Help the team with predictive analysis and data analysis.They want someone with an excellent academic background and a quantitative research/analytics…,Lead Data Scientist,Cambridge,87000,recruiter,upper,data scientist
CK Group,Ability to perform and interpret statistical analyses of clinical data.Prepare and coordinate for blinded data review meetings prior to database lock.,Senior Statistician,Cambridge,55000,recruiter,upper,math/stats
re&m,"Signal processing, statistics and other data analysis methods.Track record in the design of graphical data analysis, charting and visualisation applications.","Software Engineer, C#, Data Science; Cambridge",Cambridge,45000,recruiter,nan,data scientist
First Central,"Excellent data and statistical analysis skills, with the ability to adopt a logical approach to solving problems.Excellent SAS / SQL programming skills.",Senior Data Analyst,Brighton,32000,insurance,upper,data analyst
Pareto Law,Effectively evaluate and analyse data.Ensure that company data is record accurately and is correct.Work as part of a team to evaluate and analyse key data…,Data Analyst,Brighton,29500,law,nan,data analyst
Aspire Data Recruitment,Provide in-depth insights into internal and external data sets.Create data visualisations and provide commentary to effectively communicate your analytical…,Graduate Data Analyst,Brighton,31000,recruiter,entry,data analyst
Harnham,"Use machine learning, data mining and statistical techniques to create new scalable solutions for business problems.Strong mathematical and statistical skills.",Data Scientist,Brighton,35000,recruiter,nan,data scientist
kdr Recruitment,"Extract data from SQL databases into QlikView.To top it all off, the board of directors aren’t backing your business case and have zero interest in Data &…",Data Analyst – Bedford,Brighton,27500,recruiter,nan,data analyst
Aspire Data Recruitment,Provide in-depth insights into internal and external data sets.Create data visualisations and provide commentary to effectively communicate your analytical…,Data Insight Analyst,Brighton,37500,recruiter,nan,data analyst
McGregor Boyall,This candidate will support and deliver a series of projects within a large portfolio and work closely with the Project Manager and the Offshore teams to…,Business Data Analyst,Brighton,70000,recruiter,nan,data analyst
Sentinel,"Strong numerical and analytical skills with the ability to interpret complex data, bridge data gaps and identify areas of risk and opportunity.",Data Analyst,Brighton,35000,recruiter,nan,data analyst
Datatech Analytics,Mine and analyse big data sets using data science techniques.Mine and analyse big data sets.Undertake data science skills and techniques to deliver business…,Data Science Professional,Brighton,50000,tech,nan,data scientist
First Central,"Degree level or above in a statistical or mathematical science or IT.Excellent data and statistical analysis skills, with the ability to adopt a logical…",Senior Data Analyst,Brighton,32000,insurance,upper,data analyst
MBN Solutions,"Use data analysis and handling techniques to analyse, validate, reconcile and report on legal review data captured by our lawyers.Up to £35,000 + Benefits*.",Data Analyst,Glasgow,35000,recruiter,nan,data analyst
Welsh Water,"Working with and developing our data warehouse to create insight in to our data?This involves designing, coding and testing the development of SQL Server…",SQL Data Analyst,Cardiff,28984,environment,nan,data analyst
Welsh Water,"This involves designing, coding and testing the development of SQL Server scripts to allow us analyse data, create reports and update our data warehouse.","SQL Data Analyst (£30,000)",Cardiff,28984,environment,nan,data analyst
Nu Staff,Experience in a similar data driven role or relevant qualification.Support the team in gathering and analysing data and presenting their findings.,Junior Data Analyst,Cardiff,24000,recruiter,entry,data analyst
Pareto Law,Effectively evaluate and analyse data.Ensure that company data is record accurately and is correct.Work as part of a team to evaluate and analyse key data…,Data Analyst,Cardiff,20000,law,nan,data analyst
Jenrick Group,Experience with human capital data & analytics.Develop data management and analysis capability within the existing team and across HR.,HR Insight Analyst/HR Data Analyst,Cardiff,36500,recruiter,nan,data analyst
Enable Futures,All data related procedures and data cleansing.Utilise backend data services and contribute to increase existing data services API.,Junior Data Analyst,Cardiff,20500,recruiter,entry,data analyst
Acorn Recruitment Limited,Experience visualising data with analytical /statistical techniques.Strong experience with Excel and an understanding of data principles.,BI Analyst / Performance Reporting Analyst,Cardiff,31000,recruiter,nan,business analyst
Vargo Recruitment,"Data analysis: 1 year (Preferred).Enjoy working with data and business partnering senior managers.Our client, is looking for a junior business analyst.",Junior Business Analyst,Cardiff,22500,recruiter,entry,business analyst
UK Government - Office for National Statistics,Have at least two years of successful experience of working in applied social research in which strong analytical skills have been clearly demonstrated (for…,Senior Research Officer,Cardiff,37024,government,upper,other
NHS Cheshire Clinical Commissioning Group (previou...,The teams annual report includes deliverables to achieve.Building a full pathway model of all healthcare contacts.,Data Scientist,Liverpool,47712,healthcare,nan,data scientist
ShortList,"Investigate and supply solutions for data issues.Excellent analytical skills along with the ability to collect, organise and analyse large amounts of data.",Junior Data Analyst,Liverpool,28000,recruiter,entry,data analyst
Page Personnel - UK,"Checking and verifying new data entries to ensure minimum data standards.Running searches to identify incomplete or inaccurate data, and updating as required.",Data Analyst - Legal,Liverpool,23500,recruiter,nan,data analyst
ShortList,"Technical expertise regarding data models, database design development, data mining and segmentation techniques.Key Skills for the Data Analyst:",Data Analyst,Liverpool,40000,recruiter,nan,data analyst
ShortList,"Commercial experience in big data insight.Data Analysis - Javascript/Java/ElasticSearch/Python/Hadoop.Graduate in Computer Science, Economics, Mathematics,…",Data Scientist,Liverpool,35000,recruiter,nan,data scientist
Oscar Technology,"You'll be working in a team who have been a key part of the business for a number of years, and you'll aid in the creation of actionable analysis and insights…",Junior Data Analyst,Liverpool,25000,tech,entry,data analyst
ShortList,"Technical expertise regarding data models, database design development, data mining and segmentation techniques.Key skills for the Retail Data Manager:",Retail Data Manager,Liverpool,40000,recruiter,upper,data (other)
NHS Midlands and Lancashire Commissioning Support...,"Using a variety of methodologies for data visualisation e.g. SPC charts.Relational database management systems, ETL, Data cubes and complex tabular based data…",Band 7 Analyst / Senior Application Developer / Senior Data...,Liverpool,40671,healthcare,upper,analyst (other)
NHS Midlands and Lancashire Commissioning Support...,"Using a variety of methodologies for data visualisation e.g. SPC charts.Relational database management systems, ETL, Data cubes and complex tabular based data…",Band 8 Lead Analyst / Lead Application Developer / Lead Data...,Liverpool,47712,healthcare,upper,analyst (other)
WENDY B LTD,"The successful candidate will harness their analytical skills to create relevant data sets, manipulate and extract data.Job Types: Full-time, Permanent.",Senior Data Analyst,Liverpool,46000,recruiter,upper,data analyst
Oxford Health NHS Foundation Trust,"The TalkingSpace Plus service is delivered in partnership with Oxfordshire Mind, Oxford Health NHS Foundation Trust and Principal Medical Limited.",Data Analyst,Oxford,27761,healthcare,nan,data analyst
University of Oxford,"You will work with EBCTCG's IT, overviews and statistical teams on processing, checking, documenting and refining large amounts of raw data from a variety of…",Data Analyst,Oxford,31424,education,nan,data analyst
University of Oxford,"We are seeking experienced statistician, epidemiologist or data scientists with a strong background in analysis of electronic health record for large scale data…",Data Scientist,Oxford,36569,education,nan,data scientist
Thames Water Utilites,"Ideally, you will have worked on data maintenance, data improvement or similar projects and understand the necessity of accurate and up to date data.",Data Analyst,Oxford,35000,environment,nan,data analyst
Allen Associates,"Additionally, you will be supporting the delivery of projects by managing the data and data related risks.A brand new and rewarding role, the Data Analyst will…",Data Analyst,Oxford,30000,recruiter,nan,data analyst
University of Oxford,The Primary Cary Epidemiology Research Group are seeking an experienced statistician or data scientist with knowledge of the issues around the analysis of…,Medical Statistician/Data Scientist,Oxford,36569,education,nan,data scientist
Heat Recruitment,"You will be a highly experienced data scientist, with a strong academic background in statistics.Excellent knowledge of experimental design, data manipulation…",Data Scientist,Oxford,75000,recruiter,nan,data scientist
Blue Pelican,"An understanding of data management, database design and sourcing and connecting data, and ideally some experience of working with large volumes of data …",Data Scientist / Analyst – Demand Forecasting,Oxford,42500,recruiter,nan,data scientist
Deluxe Services Limited,"Use your problem-solving skills, attention to detail and love of Excel to analyse and report.Work collaboratively with stakeholders, providing specialist…",Data Analyst,Oxford,30000,recruiter,nan,data analyst
Page Personnel - UK,"Experienced with data analysis + modelling.Help to develop and test new financial models and systems.Cost analysis, comparing costs to budget.",Financial Data Analyst,Oxford,32500,recruiter,nan,data analyst
Austin Fraser,"Data ingestion and governance responsibility for a variety of data sets including patient, activity and sales data used by cross-functional teams.",Data Analyst / Engineer,Oxford,50000,recruiter,nan,data analyst
Skypath,Experience writing SQL for data extraction.This position will provide application and data support for the Reading UK and London offices.,Data Analyst,Oxford,31000,recruiter,nan,data analyst
Stanton House,The role requires that you have an extensive background in machine learning and data mining.Promote data science across the business and across the external…,Data Scientist,Oxford,45000,recruiter,nan,data scientist
Downtown Recruitment,Able to make recommendations based on data and adaptable and flexible to fast moving environments.My Aylesbury based client is has an exciting new role for an …,Data Analyst,Oxford,24000,recruiter,nan,data analyst
Cute Resource,"As a Data Analyst, you will be responsible for providing data support by running data analysis and data reporting, system development, as well as running the…",Data Analyst – CRM,Oxford,22500,recruiter,nan,data analyst
Datatech Analytics,Capable of exploring data and analytical methods independently.Demonstrate previous data analysis work that they have carried out.,Data Scientist,Oxford,25000,tech,nan,data scientist
Dome Recruitment,Build key working relationships with distributors when dealing with queries/invalids and set clear rules/communication terminology for them and guide them to…,Data Analyst – £32k + benefits,Oxford,32000,recruiter,nan,data analyst
Harnham,Customer-focused experience and experience working with marketing data.This company are looking for someone with strong Machine Learning experience ideally…,Data Scientist,Oxford,50000,recruiter,nan,data scientist
University of Reading,The University of Reading is looking to recruit a Senior Business Systems and Data Analyst within Digital Technology Services Directorate (DTS).,Senior Business Systems and Data Analyst,Oxford,46280,education,upper,data analyst
Skypath,"Rare opportunity for individuals with strong attention to details looking for their first job in IT more on the Data side, someone with experience in Excel,…",General IT Admin (Data Analyst),Oxford,20000,recruiter,nan,data analyst
Metrica Recruitment,"As a senior data analyst, you will be accountable for tackling a wide array of complex issues across a number of different analytical areas, including; customer…",Senior Data Analyst - SQL,Oxford,50000,recruiter,upper,data analyst
Austin Fraser,"Experience working alongside data engineers and developers to create production-ready data pipelines.Recognition (natural language processing, text and other…",Senior Data Scientist,Oxford,62500,recruiter,upper,data scientist
Harnham,Customer-focused experience and experience working with marketing data.This company are looking for someone with strong Machine Learning experience ideally…,Senior Data Scientist,Oxford,70000,recruiter,upper,data scientist
Understanding Recruitment,"Machine Learning and Deep Learning technology.As a Data Scientist you will be utilising your current skill set, alongside their unique technological advances…","Data Scientist (Deep Neural Networks, Machine Learning, Heal...",Oxford,62500,recruiter,nan,data scientist
Blue Pelican,"If it’s technology that excites, you, this business has recently invested in Snowflake (a cutting-edge cloud based data warehousing solution), and operate a…",Junior Insight Analyst,Oxford,25000,recruiter,entry,data analyst
Dome Recruitment,Leverage marketing data and analytics to support informed business decisions.Ability to analyze and assess sales/market/marketing data.,Data Analyst – £35k (12 months Fixed Term Contract),Oxford,35000,recruiter,nan,data analyst
Blue Pelican,"Experience in data management, database design and sourcing and connecting data, working with large volumes of data (millions of records+).",Senior Data Scientist – Demand Forecasting,Oxford,80000,recruiter,upper,data scientist
GCS Recruitment Specialists Ltd,Excellent numeracy skills with the ability to interpret results.Document requests for larger pieces of new reporting requirements in line with the process…,Business Intelligence Analyst,Oxford,34000,recruiter,nan,analyst (other)
Finlay James,Be a subject matter expert in all aspects of the energy sector such as; Oil & Gas both Upstream and Downstream & Renewables.,Senior Business Development Manager - Energy,Oxford,120000,recruiter,upper,developer
Harnham,Customer-focused experience and experience working with marketing data.This company are looking for someone with strong Machine Learning experience ideally…,Data Science Manager,Oxford,85000,recruiter,upper,data scientist
University of Oxford,We are seeking a bioinformatician or other data scientist with experience in cohort-scale proteomic data analysis to work as an analyst in the STEp-UP OA…,Postdoctoral Research Associate in Proteomic Bioinformatics,Oxford,36569,education,nan,business analyst
Ampersand Consulting,"NET Core, Javascript, SQL) will have 2-3 years' experience in development utilising Microsoft technologies, with a positive attitude towards to clean code and…","Software Developer (C#, MVC, ASP.NET Core, Javascript, SQL)",Oxford,35000,consult,nan,developer
Lloyds Banking Group,"Over the duration of the programme, you will have the opportunity to develop your capabilities as a data analyst, being taught how to collect, organise and…",Data Analyst Apprenticeship,Bristol,24225,finance,nan,data analyst
Heat Recruitment,I’m very pleased to be working with a superb Bristol based client who are looking to engage with junior to mid-level data analysts and data scientists on a…,Junior/Mid-Level Data Analyst or Scientist,Bristol,32500,recruiter,entry,data analyst
Oscar Technology,Develop and employ the use of best data mining techniques.Manage and optimise processes internally.Ensure appropriate reporting tools are in place to monitor…,Data Analyst,Bristol,35000,tech,nan,data analyst
Michael Page UK,"Evidence demonstrable experience of analysing data and the ability to work with large volumes of structured and unstructured data, identifying intelligence and…",Data Analyst,Bristol,23000,recruiter,nan,data analyst
Michael Page UK,Experience of leadership in a data analysis/performance management environment.Have worked in a statistical/data science field and are able to demonstrate…,Lead Data Analyst and Business Partner,Bristol,56536,recruiter,upper,data analyst
Enable Futures,All data related procedures and data cleansing.Utilise backend data services and contribute to increase existing data services API.,Junior Data Analyst,Bristol,20500,recruiter,entry,data analyst
Pareto Law,Effectively evaluate and analyse data.Ensure that company data is record accurately and is correct.Work as part of a team to evaluate and analyse key data…,Data Analyst,Bristol,20000,law,nan,data analyst
ADLIB,They have recently partnered with one of the UK's leading Red Brick Universities to build a Data Science team to support the application of Machine Learning…,Senior Data Scientist,Bristol,65000,recruiter,upper,data scientist
ADLIB,"You’ll be tasked with the full end-to-end process from gathering requirements and understanding business needs, data analysis, leveraging data, developing and…",Senior Oil & Gas Data Scientist,Bristol,52500,recruiter,upper,data scientist
UK Government - Office for National Statistics,Have at least two years of successful experience of working in applied social research in which strong analytical skills have been clearly demonstrated (for…,Senior Research Officer,Bristol,37024,government,upper,other
Ascend Properties,Effectively evaluate and analyse data.Working with all aspects of the business to evaluate and analyse data that will be used to identify areas of improvement.,Data Analyst/ Excel SME,Manchester,25500,recruiter,nan,data analyst
Venn Group,Working with all aspects of the business to evaluate and analyse data that will be used to identify areas of improvement.,Excel data Analyst,Manchester,25500,recruiter,nan,data analyst
GCB Agency Recruitment,Effectively evaluate and analyse data.Working with all aspects of the business to evaluate and analyse data that will be used to identify areas of improvement.,Data Analyst/ Excel SME,Manchester,23500,recruiter,nan,data analyst
FDM Group,Fully-funded training in our Leeds Academy (certified in BCS business analysis).Exposure to an industry in a state of rapid growth.,Junior Business Intelligence Data Analyst - Manchester,Manchester,24750,recruiter,entry,data analyst
Pareto Law,Effectively evaluate and analyse data.Ensure that company data is record accurately and is correct.Work as part of a team to evaluate and analyse key data…,Data Analyst,Manchester,23000,law,nan,data analyst
Agility Resourcing,"Ability to investigate data, find trends, forecast performance and provide insightful recommendations.My client is a large multinational financial services…",Junior Data Analyst,Manchester,24000,recruiter,entry,data analyst
Emerging Talent,You will support the Data Operations Team to align all Affordable Housing data and reporting.You will liaise with all Affordable Housing colleagues to support…,Data Analyst Emerging Talent,Manchester,22000,recruiter,nan,data analyst
Rare Skills Ltd,"Drives strategic efforts across modelling and data team, leveraging advanced text-mining techniques to extract information from diverse data sources.",Sr. Data Analyst / Data Scientist,Manchester,70000,recruiter,nan,data scientist
Oscar Technology,"If you enjoy working with interesting data sets and want to support the development of new strategies, schemes and initiatives, then this is the role for you.",Data Analyst,Manchester,49500,tech,nan,data analyst
CLD Recruitment,Effectively evaluate and analyse data.Working with all aspects of the business to evaluate and analyse data that will be used to identify areas of improvement.,Data Analyst,Manchester,25500,recruiter,nan,data analyst
Utility Warehouse,Ensuring industry data flow guidelines are followed accurately.Processing inbound and outbound data files within agreed timeframes.,MOP/MAM Data Analyst,Manchester,20000,recruiter,nan,data analyst
Ambitious Group 3854,Data analyst: 1 year (Preferred).Effectively evaluate and analyse data.Working with all aspects of the business to evaluate and analyse data that will be used…,Data Analyst,Manchester,28000,recruiter,nan,data analyst
EMR Marketing Recruitment,You will have experience as a Data analyst working with sales and marketing data.Have the ability to pull together data from multiple data sources in order to…,Data Analyst,Manchester,27500,recruiter,nan,data analyst
MBN Solutions,"Use your skills in computer vision and data science on a varied range of data, including image, time and sensor to advise on key business decisions and be…",Data Scientist,Manchester,55000,recruiter,nan,data scientist
Emerging Talent,This role requires you to have a good understanding of data.From conducting data analytics testing your role will directly link to the auditing.,Audit Data Analyst Emerging Talent,Manchester,23500,recruiter,nan,data analyst
Pearson Frank,This is a really exciting time to be joining my client as they are going through substantial growth and working with industry leading clients.,Data Analyst,Manchester,30000,recruiter,nan,data analyst
Datatech Analytics,Demonstrate solid experience of working within a data analyst role in the media or marketing industry.Ensure accuracy of data feeding into dashboards to…,Data Analyst,Manchester,50000,tech,nan,data analyst
Hasson Associates,"In this role you will be involved in working with unstructured data, big data, social media, digital and research data using packages like R and Python and…","Junior Marketing & Data Scientist – Big Data, R, Python,",Manchester,28500,recruiter,entry,data scientist
myfuturerole.com,Effectively evaluate and analyse data.Work with all aspects of the business to evaluate and analyse data that will be used to identify areas of improvement.,Excel Specialist- Data Analyst- South Manchester- £28K DOE,Manchester,25500,recruiter,nan,data analyst
Rare Skills Ltd,Designing and building pipelines to collect data from various data sources and Designing Data models .2+ years experience using Realtime & batch data.,Data Engineer / Data Scientist,Manchester,50000,recruiter,nan,data scientist
Agility Resourcing,"The successful candidate will have a strong track record developing and applying modelling and data analytics solutions, in addition to exceptional experience…",Senior Data Analyst,Manchester,40000,recruiter,upper,data analyst
Chassam Recruitment,Creating SQL scripts and custom data extracts.Merging data or importing databases from different providers.Providing data/reports as per each clients’ request…,Data Analyst,Manchester,35000,recruiter,nan,data analyst
Venturi,"A passion for data and data science.Experience in statistical modelling, machine learning, data mining or natural language processing.",Data Scientist,Manchester,45000,recruiter,nan,data scientist
Jobwise,Great communicator – being able to present complex data for a wider audience.Provide management information of all aspects of data usage with recommendations…,Data Analyst,Manchester,23500,recruiter,nan,data analyst
Dynamix Recruitment Ltd,"As a senior data scientist within the exciting, new claims advanced analytics capability, you will be building end to end data science solutions to solve some…",Data Scientist,Manchester,65000,recruiter,nan,data scientist
Biorelate,You will work alongside our lead data scientist and data scientists.You may be someone who has worked on data curation projects or to build large training data…,Galactic AI (Bio Data) Product Owner,Manchester,72500,environment,nan,business analyst
Page Personnel - UK,Effectively evaluate and analyse data.Working with all aspects of the business to evaluate and analyse data that will be used to identify areas of improvement.,Data Analyst - Real Estate and Property,Manchester,24500,recruiter,nan,data analyst
NHS Midlands and Lancashire Commissioning Support...,"Using a variety of methodologies for data visualisation e.g. SPC charts.Relational database management systems, ETL, Data cubes and complex tabular based data…",Band 7 Analyst / Senior Application Developer / Senior Data...,Manchester,40671,healthcare,upper,analyst (other)
Maxwell Bond,"A Global Financial Leader is looking for a Technical Business Analyst to join the team, working on a large-scale data transformation project.",Technical Business Analyst,Manchester,57500,recruiter,nan,business analyst
NHS Midlands and Lancashire Commissioning Support...,"Using a variety of methodologies for data visualisation e.g. SPC charts.Relational database management systems, ETL, Data cubes and complex tabular based data…",Band 8 Lead Analyst / Lead Application Developer / Lead Data...,Manchester,47712,healthcare,upper,analyst (other)
